1_graph	8_frantfreqparm
suivissent	0.10
suivistes	0.03
suivit	19.29
suivons	2.61
suivra	2.84
suivrai	1.10
suivraient	0.94
suivrais	0.58
suivrait	2.29
suivras	0.10
suivre	72.58
suivrez	0.10
suivriez	0.03
suivrions	0.06
suivrons	0.68
suivront	1.90
suivîmes	0.35
suivît	0.39
sujet	123.16
sujets	45.77
sujette	1.81
sujettes	1.06
sujétion	1.23
sujétions	1.26
sulfaguanidine	0.03
sulfamide	0.03
sulfamides	1.35
sulfanilamide	0.03
sulfatage	0.10
sulfatages	0.16
sulfatant	0.03
sulfatation	0.13
sulfate	4.55
sulfater	0.10
sulfates	0.52
sulfateuse	0.10
sulfateuses	0.06
sulfatée	0.03
sulfatées	0.13
sulfatés	0.03
sulfhydrique	0.06
sulfitage	0.03
sulfite	0.03
sulfites	0.03
sulfitique	0.03
sulfitiques	0.10
sulfitomètres	0.03
sulfitée	0.03
sulfonate	0.06
sulfone	0.03
sulfones	0.03
sulfonitrique	0.06
sulfonée	0.03
sulfonés	0.06
sulfosels	0.03
sulfuration	0.03
sulfure	1.35
sulfures	0.48
sulfureuse	0.68
sulfureuses	0.42
sulfureux	0.71
sulfurique	3.16
sulfuriques	0.06
sulfurisé	0.10
sulfuré	0.13
sulfurée	0.03
sulfurés	0.06
sulky	0.23
sulpicien	0.10
sulpicienne	0.16
sulpiciennes	0.06
sultan	13.42
sultanat	0.10
sultanats	0.03
sultane	1.94
sultanes	0.06
sultans	1.13
sumac	0.13
summum	0.42
sumo	0.03
sumérien	0.16
sumérienne	0.03
sumériennes	0.03
sumériens	0.55
sunlight	0.06
sunlights	0.23
sunna	0.10
sunnite	0.13
sunnites	0.19
supent	0.03
super	13.19
superbe	13.74
superbement	1.94
superbes	3.35
superbombe	0.06
superbénéfices	0.03
supercarburant	0.13
supercherie	1.35
supercheries	0.29
superciment	0.19
superciments	0.29
supercritique	0.06
superficialité	0.32
superficie	6.42
superficiel	3.71
superficielle	6.45
superficiellement	0.84
superficielles	3.97
superficiels	2.19
superficies	0.81
superfin	0.03
superfinition	0.03
superflu	4.26
superflue	1.13
superflues	0.68
superfluidité	0.03
superfluité	0.10
superfluités	0.06
superflus	0.58
superforteresses	0.10
superfétations	0.03
superfétatoire	0.26
superfétatoires	0.13
supergéante	0.03
supergéantes	0.61
superjets	0.03
superlatif	0.48
superlatifs	0.13
superlative	0.03
superlativement	0.10
supermalloy	0.03
superman	0.26
supermarché	2.61
supermarchés	0.35
supernova	0.19
superphosphate	4.81
superphosphates	1.19
superposa	0.03
superposable	0.26
superposables	0.61
superposaient	0.58
superposait	0.23
superposant	1.32
superpose	1.58
superposent	2.03
superposer	1.61
superposera	0.03
superposerait	0.03
superposition	4.48
superpositions	0.32
superposons	0.06
superposé	0.74
superposée	0.61
superposées	2.97
superposés	2.71
superproduction	0.10
superproductions	0.03
supers	0.03
supersonique	0.06
supersoniques	0.35
superstar	0.16
superstars	0.03
superstitieuse	1.00
superstitieusement	0.19
superstitieuses	0.13
superstitieux	1.55
superstition	3.39
superstitions	1.84
superstructure	0.65
superstructures	1.48
supervisait	0.13
supervise	0.06
supervisent	0.03
superviser	0.16
superviseront	0.03
superviseurs	0.03
supervision	0.13
supervisions	0.03
supervisé	0.06
supervisée	0.03
supervisés	0.03
supes	0.03
supin	0.10
supination	0.23
supplanta	0.19
supplantait	0.13
supplantant	0.03
supplantation	0.03
supplante	0.45
supplantent	0.13
supplanter	0.71
supplantera	0.10
supplantèrent	0.03
supplanté	0.84
supplantée	0.45
supplantées	0.03
supplantés	0.19
supplia	1.81
suppliai	0.42
suppliaient	0.52
suppliais	0.48
suppliait	2.68
suppliant	3.29
suppliante	1.52
suppliantes	0.32
suppliants	0.55
supplication	1.26
supplications	1.58
supplice	6.94
supplices	1.42
supplicia	0.03
suppliciant	0.06
suppliciantes	0.06
supplicient	0.06
supplicier	0.23
suppliciera	0.03
supplicié	1.19
suppliciée	0.13
suppliciées	0.13
suppliciés	0.65
supplie	7.35
supplient	0.35
supplier	2.55
supplierai	0.03
supplieraient	0.03
supplierait	0.03
supplies	0.13
supplions	0.19
supplique	0.45
suppliques	0.32
suppliât	0.03
supplièrent	0.13
supplié	1.58
suppliée	0.23
suppliés	0.06
suppléa	0.03
suppléaient	0.16
suppléait	0.26
suppléance	1.06
suppléances	0.58
suppléant	1.48
suppléante	0.03
suppléantes	0.03
suppléants	2.03
supplée	1.13
suppléent	0.32
suppléer	2.19
suppléeraient	0.06
suppléerait	0.06
suppléerez	0.03
supplément	7.13
supplémentaire	15.16
supplémentairement	0.03
supplémentaires	9.39
supplémenter	0.03
suppléments	1.19
supplémentées	0.03
supplétif	0.03
supplétifs	0.06
supplétive	0.10
suppléé	0.29
suppléés	0.06
support	13.71
supporta	0.61
supportable	3.45
supportables	1.52
supportai	0.06
supportaient	1.00
supportais	1.16
supportait	5.61
supportant	2.19
supporte	9.68
supportent	3.81
supporter	25.19
supportera	0.39
supporterai	0.68
supporteraient	0.16
supporterais	0.55
supporterait	1.74
supporteras	0.03
supporterez	0.10
supporteriez	0.10
supporterons	0.03
supporteront	0.13
supporters	1.68
supportes	0.19
supportez	0.32
supportiez	0.03
supportions	0.19
supportons	0.19
supports	7.90
supportât	0.13
supportèrent	0.10
supporté	3.87
supportée	1.29
supportées	1.10
supportés	0.81
supposa	0.94
supposable	0.03
supposai	0.32
supposaient	0.45
supposais	1.13
supposait	3.74
supposant	4.06
suppose	37.94
supposent	3.23
supposer	16.97
supposera	0.45
supposeraient	0.16
supposerait	1.10
supposerons	0.42
supposeront	0.06
supposes	0.06
supposez	0.94
supposiez	0.03
supposions	0.16
supposition	2.42
suppositions	1.74
suppositoire	0.26
suppositoires	0.32
supposons	8.87
supposâmes	0.03
supposèrent	0.03
supposé	6.94
supposée	4.10
supposées	1.74
supposés	2.06
suppression	12.32
suppressions	0.55
supprima	1.52
supprimai	0.03
supprimaient	0.26
supprimais	0.03
supprimait	0.90
supprimant	2.90
supprime	4.71
suppriment	0.68
supprimer	12.10
supprimera	0.23
supprimerai	0.03
supprimeraient	0.03
supprimerait	0.16
supprimerons	0.03
supprimeront	0.10
supprimez	0.26
supprimons	0.13
supprimât	0.06
supprimèrent	0.13
supprimé	4.68
supprimée	2.74
supprimées	1.58
supprimés	1.42
suppuraient	0.03
suppurait	0.06
suppurant	0.03
suppurantes	0.03
suppuratifs	0.03
suppuration	0.87
suppurations	0.29
suppure	0.13
suppurer	0.06
suppurerait	0.03
suppurée	0.29
suppurées	0.29
supputa	0.06
supputai	0.03
supputaient	0.13
supputais	0.03
supputait	0.45
supputant	0.29
supputation	0.16
supputations	0.42
suppute	0.55
supputent	0.16
supputer	0.74
supputé	0.16
supputées	0.03
supputés	0.06
suppôt	0.32
suppôts	0.19
supra	2.10
supraconducteur	0.32
supraconducteurs	0.42
supranational	0.48
supranationale	0.65
supranationales	0.29
supranationalité	0.06
supranationaux	0.26
supranaturel	0.13
supranaturelle	0.10
supranaturelles	0.10
supranaturels	0.03
supranormal	0.06
supranormales	0.03
supranormaux	0.61
suprarationnelle	0.03
suprasensible	0.03
suprasensibles	0.03
supraterrestre	0.06
suprématie	3.26
suprématisme	0.03
suprême	24.52
suprêmement	1.03
suprêmes	1.81
supère	0.06
supérette	0.03
supérieur	65.13
supérieure	48.61
supérieurement	0.84
supérieures	22.97
supérieurs	21.23
supériorité	10.97
supériorités	0.65
sur	4209.61
surabondaient	0.03
surabondamment	0.32
surabondance	1.39
surabondances	0.06
surabondant	0.19
surabondante	0.39
surabondantes	0.19
surabondants	0.13
surabondent	0.10
suractive	0.03
suractivité	0.10
suractivé	0.06
suractivée	0.03
suradaptation	0.10
suradapté	0.10
suradaptés	0.03
surah	0.10
suraigu	0.90
suraigus	0.39
suraiguë	0.81
suraiguës	0.16
surajoute	0.23
surajoutent	0.03
surajouter	0.10
surajouté	0.45
surajoutée	0.19
surajoutées	0.10
surajoutés	0.26
suralimentant	0.03
suralimentation	0.19
suralimenter	0.03
suralimentes	0.03
suralimentée	0.06
suralimentés	0.06
suranné	0.48
surannée	0.23
surannées	0.45
surannés	0.35
surarbitres	0.06
surard	0.03
surbaissement	0.03
surbaissé	0.19
surbaissée	0.23
surbaissées	0.06
surbaissés	0.16
surbilles	0.03
surblaze	0.03
surboum	0.23
surboums	0.23
surbrodé	0.03
surcharge	2.35
surchargea	0.03
surchargeaient	0.13
surchargeais	0.03
surchargeant	0.13
surchargent	0.06
surcharger	0.42
surcharges	0.39
surchargé	1.32
surchargée	1.03
surchargées	0.74
surchargés	1.23
surchauffait	0.03
surchauffe	0.84
surchauffer	0.03
surchauffes	0.19
surchauffeur	0.13
surchauffeurs	0.03
surchauffé	0.61
surchauffée	0.90
surchauffées	0.19
surchauffés	0.29
surchoix	0.13
surclassa	0.03
surclassaient	0.03
surclassait	0.13
surclassant	0.06
surclasse	0.10
surclassement	0.03
surclassements	0.03
surclassent	0.06
surclasser	0.13
surclasserais	0.03
surclasseras	0.03
surclassèrent	0.03
surclassé	0.06
surclassée	0.03
surclassées	0.03
surclassés	0.13
surcompensation	0.06
surcompenser	0.03
surcompensé	0.06
surcompensée	0.03
surcompensées	0.03
surcompressée	0.10
surcomprimés	0.03
surconscience	0.26
surcot	0.03
surcots	0.06
surcritique	0.03
surcroît	15.32
surcroîts	0.10
surcuite	0.10
surdensité	0.16
surdité	2.06
surdoré	0.03
surdorée	0.03
surdosage	0.06
surdoué	0.35
surdouée	0.03
surdoués	0.35
surdétermination	0.03
surdétermine	0.03
surdéterminer	0.03
surdéterminé	0.10
surdéterminée	0.03
surdéterminées	0.06
surdéveloppées	0.03
surdéveloppés	0.03
sure	0.19
sureau	0.94
sureaux	0.19
suremploi	0.03
surenchère	1.58
surenchères	0.84
surenchéri	0.03
surenchérir	0.23
surenchérissant	0.03
surenchérissent	0.03
surenchérit	0.35
surencombrée	0.03
surent	1.48
surentraînement	0.03
surentraînés	0.03
sures	0.10
surestaries	0.10
surestimant	0.03
surestimation	0.10
surestime	0.10
surestimer	0.58
surestimerais	0.03
surestimez	0.03
surestimé	0.19
surestimée	0.13
surestimées	0.06
surestimés	0.10
suret	0.10
surette	0.10
surexcitaient	0.03
surexcitait	0.13
surexcitation	0.55
surexcite	0.03
surexcitent	0.03
surexciter	0.13
surexciteraient	0.03
surexcitèrent	0.03
surexcité	0.42
surexcitée	0.16
surexcitées	0.10
surexcités	0.29
surexploitation	0.16
surexploités	0.03
surexposé	0.06
surexposés	0.06
surf	0.19
surface	76.94
surfacer	0.06
surfaces	17.39
surfactants	0.03
surfaire	0.10
surfaisait	0.03
surfait	0.19
surfaite	0.10
surfaits	0.03
surfaix	0.06
surfaçage	0.03
surfer	0.10
surfilage	0.03
surfilés	0.03
surfine	0.03
surfondu	0.06
surfondues	0.06
surfusion	0.45
surgeler	0.03
surgelé	0.29
surgelée	0.06
surgelées	0.03
surgelés	0.42
surgeon	0.19
surgeonnent	0.03
surgeons	0.42
surgi	5.32
surgie	1.32
surgies	0.68
surgir	13.48
surgira	0.42
surgiraient	0.10
surgirait	0.32
surgirent	1.00
surgirez	0.03
surgiront	0.39
surgis	1.16
surgissaient	2.77
surgissais	0.03
surgissait	3.97
surgissant	2.52
surgisse	0.71
surgissement	1.13
surgissements	0.03
surgissent	4.77
surgissez	0.06
surgissons	0.03
surgit	11.45
surgèle	0.06
surgé	0.58
surgélation	0.06
surgénérateur	0.03
surgénérateurs	0.23
surgénératrice	0.03
surgît	0.03
surhaussement	0.06
surhaussée	0.03
surhomme	0.61
surhommes	0.19
surhumain	1.58
surhumaine	0.97
surhumaines	0.26
surhumains	0.19
surhumanité	0.19
suri	0.16
surie	0.13
suries	0.03
surimposaient	0.03
surimpose	0.06
surimposent	0.03
surimposition	0.06
surimpositions	0.03
surimposé	0.03
surimposée	0.06
surimposées	0.03
surimposés	0.03
surimpression	0.58
surimpressionnée	0.03
surimpressions	0.06
surimprimaient	0.03
surimprimées	0.03
surin	2.77
surine	0.03
surinent	0.03
suriner	0.19
surinerais	0.03
surineur	0.03
surinfection	0.29
surinfections	0.13
surinformation	0.03
surinformé	0.42
surins	0.10
surintendance	0.06
surintendances	0.03
surintendant	0.26
surintendante	0.10
surintendantes	0.03
surinvestissement	0.06
surinvestissements	0.03
surir	0.06
surit	0.03
surjection	0.03
surjective	0.16
surjet	0.03
surjeteuses	0.03
surjets	0.03
surjette	0.03
surjetée	0.03
surlargeur	0.03
surlendemain	3.97
surmenage	1.26
surmenait	0.06
surmenant	0.03
surmener	0.03
surmené	0.65
surmenée	0.19
surmenées	0.13
surmenés	0.35
surmoi	1.16
surmonta	0.26
surmontable	0.03
surmontables	0.03
surmontai	0.06
surmontaient	0.23
surmontais	0.03
surmontait	0.84
surmontant	1.61
surmonte	1.26
surmontent	0.55
surmonter	6.77
surmontera	0.10
surmonteraient	0.03
surmonterait	0.13
surmonterez	0.06
surmonteront	0.03
surmontions	0.03
surmontons	0.03
surmontèrent	0.03
surmonté	4.94
surmontée	3.77
surmontées	1.61
surmontés	1.94
surmortalité	0.03
surmoulage	0.03
surmulot	0.06
surmulots	0.13
surmultipliait	0.03
surmultipliée	0.26
surmultipliées	0.03
surmâle	0.19
surmène	0.06
surmènent	0.03
surnage	0.29
surnagea	0.06
surnageaient	0.19
surnageait	0.29
surnageant	0.55
surnageante	0.06
surnageants	0.03
surnagent	0.23
surnager	0.35
surnagera	0.06
surnages	0.03
surnagèrent	0.03
surnatalité	0.03
surnaturalise	0.03
surnaturalisme	0.03
surnaturaliste	0.19
surnaturalistes	0.13
surnaturalisé	0.03
surnature	0.10
surnaturel	4.87
surnaturelle	2.74
surnaturellement	0.16
surnaturelles	1.32
surnaturels	0.97
surnom	3.48
surnombre	1.10
surnombres	0.03
surnomma	0.10
surnommaient	0.06
surnommait	0.58
surnommant	0.03
surnomme	0.29
surnomment	0.03
surnommer	0.52
surnommerais	0.03
surnommions	0.03
surnommèrent	0.03
surnommé	2.68
surnommée	0.68
surnommés	0.13
surnoms	0.65
surnourrie	0.03
surnourries	0.06
surnuméraire	0.48
surnuméraires	0.19
surnumérariat	0.03
suroccupé	0.03
suroxygéné	0.03
suroît	0.26
suroîts	0.06
surpassa	0.19
surpassable	0.03
surpassaient	0.06
surpassais	0.10
surpassait	0.23
surpassant	0.16
surpasse	0.65
surpassement	0.06
surpassent	0.23
surpasser	0.97
surpasserai	0.03
surpasserait	0.06
surpasses	0.06
surpassât	0.03
surpassé	0.32
surpassée	0.23
surpassées	0.03
surpassés	0.16
surpatte	0.06
surpattes	0.03
surpayées	0.03
surpeuplant	0.03
surpeuple	0.06
surpeuplement	1.19
surpeuplé	0.52
surpeuplée	0.32
surpeuplées	0.29
surpeuplés	0.68
surpiqûres	0.03
surplace	0.16
surplis	1.03
surplomb	1.23
surplomba	0.03
surplombaient	0.35
surplombait	1.19
surplombant	0.97
surplombante	0.10
surplombantes	0.10
surplombe	1.61
surplombent	0.35
surplomber	0.13
surplomberait	0.03
surplombions	0.06
surplombs	0.23
surplombé	0.13
surplombée	0.19
surplombés	0.03
surplus	18.87
surpopulation	0.61
surprenaient	0.42
surprenais	0.90
surprenait	3.65
surprenant	10.13
surprenante	5.94
surprenantes	1.81
surprenants	1.45
surprend	5.39
surprendra	0.61
surprendrai	0.16
surprendraient	0.03
surprendrais	0.03
surprendrait	0.55
surprendras	0.03
surprendre	11.48
surprendrons	0.03
surprendront	0.10
surprends	1.19
surprenez	0.13
surprenions	0.10
surprenne	0.55
surprennent	0.87
surprenons	0.13
surpresseurs	0.03
surpression	0.19
surpressions	0.06
surprirent	0.42
surpris	37.45
surprise	52.03
surprises	7.03
surprissent	0.03
surprit	5.35
surprix	0.03
surproduction	1.35
surproductions	0.10
surprofits	0.03
surprotection	0.13
surprotège	0.03
surprotègent	0.06
surprotégés	0.03
surprît	0.23
surpuissance	0.03
surpuissant	0.16
surpuissante	0.03
surpuissantes	0.03
surpuissants	0.03
surpâturage	0.10
surrection	0.45
surrections	0.13
surréalisant	0.03
surréalisme	5.71
surréaliste	2.74
surréalistes	2.16
surréalité	0.13
surréel	0.45
surréelle	0.13
surréelles	0.06
surrégime	0.03
surrénal	0.74
surrénale	3.16
surrénalectomie	0.06
surrénales	3.35
surrénalien	0.23
surrénalienne	0.19
surrénaliennes	0.03
surrénalome	0.03
surrénaux	0.16
surs	0.03
sursalaire	0.03
sursaturante	0.03
sursaturation	0.42
sursaturations	0.13
sursaturé	0.13
sursaturée	0.23
sursaturées	0.03
sursaturés	0.03
sursaut	9.97
sursauta	4.23
sursautai	0.52
sursautaient	0.26
sursautais	0.10
sursautait	0.55
sursautant	1.52
sursaute	3.03
sursautent	0.16
sursauter	3.00
sursauteraient	0.03
sursauterais	0.03
sursautez	0.06
sursautons	0.06
sursauts	2.48
sursautât	0.03
sursautèrent	0.06
sursauté	1.39
surseoir	0.42
sursis	5.19
sursitaire	0.03
sursitaires	0.06
sursoie	0.03
surtaxe	0.16
surtaxes	0.03
surtendu	0.03
surtendue	0.06
surtension	0.19
surtout	313.32
surtouts	0.29
survalorisant	0.03
survaloriser	0.03
surveilla	0.26
surveillaient	1.03
surveillais	0.97
surveillait	4.71
surveillance	18.52
surveillances	0.16
surveillant	6.29
surveillante	0.87
surveillantes	0.52
surveillants	3.61
surveille	5.52
surveillent	1.42
surveiller	13.29
surveillera	0.10
surveillerai	0.13
surveilleraient	0.03
surveillerait	0.19
surveilleras	0.06
surveilles	0.16
surveillez	0.42
surveillions	0.06
surveillons	0.10
surveillât	0.06
surveillèrent	0.03
surveillé	2.13
surveillée	3.03
surveillées	1.29
surveillés	1.52
survenaient	0.23
survenais	0.03
survenait	0.90
survenance	0.06
survenant	2.19
survenants	0.13
survenir	2.61
survenu	1.55
survenue	3.39
survenues	0.71
survenus	1.65
survie	7.13
surviendra	0.13
surviendraient	0.06
surviendrait	0.19
surviendront	0.13
survienne	0.29
surviennent	1.68
survient	3.77
survies	0.03
survinrent	0.39
survint	2.00
survis	0.26
survit	3.29
survitesse	0.06
survivaient	0.65
survivais	0.06
survivait	1.06
survivance	3.48
survivances	1.61
survivant	2.87
survivante	0.16
survivantes	0.16
survivants	3.94
survive	0.48
survivent	1.23
survivons	0.16
survivra	0.61
survivrai	0.10
survivraient	0.16
survivrais	0.10
survivrait	0.74
survivras	0.03
survivre	9.03
survivrons	0.06
survivront	0.39
survol	1.13
survola	0.06
survolaient	0.16
survolais	0.03
survolait	0.29
survolant	0.32
survole	0.42
survolent	0.23
survoler	0.97
survolera	0.03
survolerons	0.03
survolions	0.10
survolons	0.06
survoltage	0.13
survoltait	0.03
survolté	0.32
survoltée	0.48
survoltées	0.03
survoltés	0.29
survolâmes	0.03
survolé	0.68
survolée	0.23
survolées	0.10
survécu	3.74
survécue	0.03
survécurent	0.19
survécus	0.06
survécut	0.77
survécût	0.06
survêtement	1.19
survêtements	0.35
survînt	0.13
suréleva	0.03
surélevait	0.03
surélevant	0.06
surélever	0.19
surélevé	0.94
surélevée	0.55
surélevées	0.29
surélevés	0.32
surélève	0.06
surélèvent	0.03
surélèvera	0.03
surélévation	0.61
surélévations	0.06
suréminente	0.16
surépaisseur	0.03
surépaisseurs	0.06
suréquipement	0.06
suréquipements	0.06
suréquipée	0.10
suréquipées	0.06
suréquipés	0.10
surévaluation	0.13
surévaluer	0.03
surévalué	0.13
sus	8.10
susceptibilité	1.61
susceptibilités	0.87
susceptible	20.77
susceptibles	22.94
suscita	2.29
suscitaient	0.97
suscitais	0.06
suscitait	1.94
suscitant	1.55
suscitas	0.03
suscitateur	0.03
suscitation	0.10
suscite	7.23
suscitent	2.84
susciter	8.55
suscitera	0.19
susciteraient	0.06
susciterait	0.26
susciteront	0.10
suscites	0.03
suscitât	0.06
suscitèrent	0.42
suscité	6.10
suscitée	1.26
suscitées	1.03
suscités	0.87
suscription	0.29
susdit	0.19
susdite	0.10
susdites	0.13
susdits	0.03
susmentionné	0.06
susmentionnée	0.03
susmentionnés	0.03
susnommé	0.19
susnommée	0.06
susnommés	0.10
suspect	7.35
suspecta	0.06
suspectaient	0.06
suspectais	0.03
suspectait	0.10
suspectant	0.03
suspecte	4.58
suspecter	0.90
suspecteraient	0.03
suspectes	1.52
suspectons	0.06
suspects	5.39
suspecté	0.65
suspectée	0.29
suspectés	0.19
suspend	1.77
suspendaient	0.23
suspendais	0.03
suspendait	0.77
suspendant	0.58
suspendent	0.29
suspendez	0.03
suspendirent	0.29
suspendit	1.74
suspendons	0.13
suspendra	0.10
suspendrait	0.13
suspendre	4.16
suspendront	0.03
suspends	0.16
suspendu	12.10
suspendue	8.42
suspendues	3.10
suspendus	4.94
suspendît	0.03
suspens	5.52
suspense	1.03
suspenses	0.06
suspenseur	0.06
suspenseurs	0.06
suspensif	0.42
suspension	14.13
suspensions	1.45
suspensoir	0.06
suspente	0.03
suspentes	0.06
suspicieuse	0.16
suspicieusement	0.06
suspicieux	0.32
suspicion	1.68
suspicions	0.26
susse	0.19
sussent	0.06
sustentait	0.03
sustentant	0.03
sustentateur	0.06
sustentation	0.35
sustente	0.03
sustenter	0.26
sustenté	0.03
sustentés	0.03
susucre	0.10
susurra	0.52
susurrai	0.03
susurraient	0.06
susurrait	0.39
susurrant	0.06
susurrante	0.03
susurre	0.52
susurrement	0.06
susurrements	0.16
susurrent	0.16
susurrer	0.26
susurré	0.29
susurrée	0.06
susurrées	0.03
susurrés	0.03
susvisé	0.61
susvisée	0.19
susvisées	0.03
susvisés	0.06
sut	14.23
suturant	0.03
suture	0.58
suturer	0.16
sutures	0.19
suturé	0.03
suturée	0.03
sutémi	0.06
suzerain	0.48
suzeraine	0.13
suzeraineté	0.16
suzerains	0.10
suât	0.03
suça	0.29
suçaient	0.45
suçais	0.13
suçait	1.16
suçant	1.10
suçoir	0.06
suçoirs	0.23
suçons	0.10
suçota	0.03
suçotait	0.13
suçotant	0.03
suçote	0.19
suçotements	0.03
suçotent	0.03
suçoter	0.19
suçoté	0.06
suède	17.52
sué	0.26
suédine	0.26
suédois	5.03
suédoise	2.35
suédoises	1.03
suée	0.42
suées	0.55
svastika	0.10
svastikas	0.06
svelte	1.35
sveltes	0.19
sveltesse	0.29
swahili	0.32
sweater	0.35
sweaters	0.13
sweatshirt	0.10
swedenborgienne	0.03
swedenborgiennes	0.03
sweepstake	0.03
swing	0.35
swings	0.06
swinguaient	0.03
sybarites	0.06
sybaritisme	0.03
sycomore	0.48
sycomores	0.35
sycophante	0.03
sycophantes	0.06
sycosis	0.03
syllabaire	0.16
syllabaires	0.03
syllabe	2.77
syllabes	6.16
syllabique	0.32
syllabiques	0.03
syllabisme	0.03
syllabisé	0.03
syllabus	0.26
syllepse	0.03
syllogisme	1.06
syllogismes	0.42
syllogistiques	0.06
sylphe	0.16
sylphes	0.19
sylphide	0.94
sylphides	0.26
sylvain	1.45
sylvains	0.06
sylvaner	0.10
sylve	0.35
sylvestre	0.77
sylvestres	0.32
sylvicole	0.13
sylvicoles	0.06
sylviculteur	0.16
sylviculteurs	0.23
sylviculture	1.16
sylvie	18.19
sylvienne	0.03
sylvies	0.03
sylvinite	0.26
symbiose	1.94
symbioses	0.03
symbiote	0.06
symbiotique	0.06
symbiotiques	0.16
symbole	19.81
symboles	16.13
symbolique	15.97
symboliquement	2.06
symboliques	5.45
symbolisa	0.03
symbolisaient	0.16
symbolisait	0.77
symbolisant	1.00
symbolisante	0.03
symbolisation	0.45
symbolisations	0.06
symbolise	2.35
symbolisent	0.90
symboliser	0.90
symbolisera	0.10
symboliserons	0.06
symbolisme	5.19
symbolismes	0.06
symboliste	0.74
symbolistes	0.35
symbolisât	0.03
symbolisèrent	0.03
symbolisé	0.81
symbolisée	0.90
symbolisées	0.13
symbolisés	0.23
sympa	3.68
sympathectomie	0.06
sympathectomies	0.03
sympathicotoniques	0.06
sympathie	17.48
sympathies	2.06
sympathique	9.55
sympathiquement	0.10
sympathiques	1.90
sympathisai	0.03
sympathisait	0.19
sympathisant	0.19
sympathisantes	0.03
sympathisants	1.00
sympathise	0.16
sympathisent	0.03
sympathiser	0.39
sympathisera	0.03
sympathisions	0.03
sympathisons	0.06
sympathisé	0.26
sympathomimétiques	0.10
symphonie	6.55
symphonies	0.61
symphonique	1.32
symphoniques	0.65
symphoniste	0.29
symphorines	0.03
symphyse	0.10
symplectique	0.06
symposium	0.52
symposiums	0.10
symptomatique	1.68
symptomatiques	0.26
symptomatologie	0.77
symptôme	2.23
symptômes	6.84
symétrie	9.71
symétries	0.55
symétrique	5.16
symétriquement	1.52
symétriques	3.19
symétrisation	0.03
synagogale	0.03
synagogaux	0.03
synagogue	1.97
synagogues	0.39
synapse	0.71
synapses	0.55
synaptique	0.16
synchro	0.48
synchrocyclotron	0.16
synchrocyclotrons	0.13
synchrone	0.58
synchrones	0.61
synchronie	0.90
synchronique	0.55
synchroniquement	0.16
synchroniques	0.26
synchronisant	0.03
synchronisation	1.00
synchronise	0.06
synchronisent	0.03
synchroniser	0.26
synchronisme	1.55
synchronismes	0.03
synchronisé	0.23
synchronisée	0.16
synchronisées	0.32
synchronisés	0.13
synchrophasotron	0.03
synchrotron	0.68
synchrotrons	0.29
syncinésies	0.03
synclinal	0.06
syncopal	0.03
syncopale	0.10
syncopales	0.03
syncopaux	0.03
syncope	0.97
syncopes	0.42
syncopé	0.39
syncopée	0.10
syncopées	0.06
syncopés	0.23
syncristallisation	0.13
syncrétique	0.23
syncrétiques	0.10
syncrétisme	1.29
syncrétismes	0.16
syncrétiste	0.13
syndic	0.87
syndical	3.58
syndicale	6.74
syndicales	4.61
syndicalisables	0.03
syndicalisation	0.13
syndicalisme	9.74
syndicalismes	0.13
syndicaliste	1.00
syndicalistes	2.39
syndicalisées	0.03
syndicat	13.81
syndicats	24.26
syndicaux	1.97
syndics	0.29
syndique	0.03
syndiquer	0.16
syndiqué	0.61
syndiquées	0.13
syndiqués	1.68
syndrome	3.84
syndromes	1.32
synecdoque	0.13
synergie	0.32
synergies	0.06
synergique	0.03
synergisme	0.06
synodal	0.10
synode	0.23
synodes	0.03
synonyme	2.55
synonymes	2.10
synonymie	0.26
synonymies	0.16
synonymique	0.03
synopsis	0.35
synoptique	0.48
synoptiques	0.74
synovial	0.23
synoviale	0.39
synoviales	0.35
synoviaux	0.06
synovite	0.03
synovites	0.06
syntactique	0.03
syntactiques	0.03
syntagmatique	0.42
syntagmatiques	0.06
syntagme	1.65
syntagmes	1.35
syntaxe	3.52
syntaxes	0.06
syntaxique	0.90
syntaxiques	0.58
synthèse	31.48
synthèses	3.16
synthé	0.10
synthés	0.03
synthétique	9.94
synthétiquement	0.39
synthétiques	7.45
synthétisa	0.03
synthétisait	0.03
synthétisant	0.23
synthétisante	0.06
synthétisantes	0.03
synthétise	0.32
synthétisent	0.19
synthétiser	0.97
synthétiserait	0.03
synthétiseur	0.16
synthétiseurs	0.03
synthétiste	0.03
synthétistes	0.03
synthétisé	0.61
synthétisée	0.35
synthétisées	0.19
synthétisés	0.42
syntol	1.74
syntonie	0.06
synusie	0.10
synusies	0.06
synécologie	0.06
synérèses	0.03
syphiligraphie	0.03
syphilis	2.84
syphilitique	1.52
syphilitiques	0.42
syphilome	0.03
syphilomes	0.03
syriaque	0.13
syriaques	0.06
syrien	1.55
syrienne	0.90
syriennes	0.84
syriens	1.13
syringomyélie	0.32
syringomyélique	0.13
syringomyéliques	0.16
syrinx	0.10
syrte	0.26
syrtes	6.52
systole	0.45
systoles	0.10
systolique	0.03
systoliques	0.03
système	183.45
systèmes	46.45
systématicien	0.16
systématiciens	0.16
systématique	19.52
systématiquement	12.03
systématiques	4.65
systématisa	0.03
systématisait	0.03
systématisant	0.06
systématisation	1.52
systématisations	0.35
systématise	0.10
systématisent	0.03
systématiser	0.68
